date,open,high,low,close,volume
1999-10-14,9.1,9.24,8.81,8.9,22603400.0
1999-10-15,8.95,9.25,8.9,9.04,8596500.0
1999-10-18,9.05,9.09,8.45,8.5,5328900.0
1999-10-19,8.4,8.6,8.32,8.46,2003000.0
1999-10-20,8.5,8.64,8.4,8.56,1202100.0
1999-10-21,8.57,8.57,8.28,8.3,1564300.0
1999-10-22,8.3,8.8,8.3,8.58,2704100.0
1999-10-25,8.6,8.65,8.41,8.47,1118100.0
1999-10-26,8.46,8.85,8.42,8.82,1924100.0
1999-10-27,9.0,9.06,8.85,8.95,4488100.0
1999-10-28,8.94,8.98,8.73,8.77,1622200.0
1999-10-29,8.77,8.84,8.6,8.68,1145400.0
1999-11-01,8.66,8.82,8.6,8.72,836300.0
1999-11-02,8.75,8.79,8.62,8.64,370000.0
1999-11-03,8.65,8.7,8.59,8.64,655600.0
1999-11-04,8.6,8.6,8.46,8.5,875100.0
1999-11-05,8.5,8.6,8.48,8.5,436800.0
1999-11-08,8.47,8.59,8.41,8.5,419300.0
1999-11-09,8.6,8.66,8.49,8.51,518200.0
1999-11-10,8.5,8.59,8.36,8.53,856700.0
1999-11-11,8.56,8.69,8.48,8.6,551000.0
1999-11-12,8.65,8.67,8.56,8.62,467800.0
1999-11-15,8.66,8.75,8.6,8.73,602000.0
1999-11-16,8.75,8.8,8.47,8.48,710900.0
1999-11-17,8.5,8.73,8.41,8.69,508900.0
1999-11-18,8.71,8.98,8.62,8.79,2428900.0
1999-11-19,8.79,8.87,8.65,8.67,570500.0
1999-11-22,8.67,8.95,8.67,8.84,1086600.0
1999-11-23,8.9,8.93,8.79,8.92,683200.0
1999-11-24,8.92,8.92,8.79,8.83,474800.0
1999-11-25,8.83,8.94,8.74,8.86,887500.0
1999-11-26,8.81,8.98,8.81,8.98,968400.0
1999-11-29,9.0,9.14,8.9,8.91,1839900.0
1999-11-30,8.9,8.98,8.85,8.95,516300.0
1999-12-01,8.96,9.14,8.9,9.09,1605400.0
1999-12-02,9.12,9.23,9.06,9.07,1991100.0
1999-12-03,9.09,9.09,8.96,9.01,923600.0
1999-12-06,9.01,9.01,8.83,8.86,859300.0
1999-12-07,8.8,8.9,8.79,8.81,603200.0
1999-12-08,8.85,8.92,8.84,8.86,408700.0
1999-12-09,8.83,8.93,8.78,8.86,362500.0
