code,date,ADX,name,industry,brief
002353,2025-08-20,23.48,杰瑞股份,专用设备,
002779,2025-09-08,21.731,中坚科技,专用设备,
002796,2025-09-12,20.002,世嘉科技,专用设备,
603901,2025-09-29,17.576,永创智能,专用设备,
002131,2025-08-22,26.22,利欧股份,互联网服务,
002338,2025-09-11,19.221,奥普光电,仪器仪表,
002617,2025-09-04,22.883,露笑科技,光伏设备,
600151,2025-08-20,21.129,航天机电,光伏设备,
600052,2025-08-27,24.22,东望时代,公用事业,
002100,2025-09-11,21.055,天康生物,农牧饲渔,
002548,2025-09-08,22.134,金新农,农牧饲渔,
600265,2025-09-23,18.623,ST景谷,农牧饲渔,
002215,2025-09-10,20.506,诺 普 信,农药兽药,
002513,2025-09-23,19.785,蓝丰生化,农药兽药,
002799,2025-09-25,21.656,环球印务,包装材料,
002709,2025-09-04,26.553,天赐材料,化学制品,
600370,2025-08-20,19.523,三房巷,化学制品,
603790,2025-09-15,18.927,雅运股份,化学制品,
002082,2025-08-29,23.478,万邦德,化学制药,
605507,2025-09-24,18.231,国邦医药,化学制药,
000830,2025-08-26,23.817,鲁西化工,化学原料,
001358,2025-09-24,16.502,兴欣新材,化学原料,
600784,2025-09-24,17.586,鲁银投资,化学原料,
600929,2025-09-16,17.532,雪天盐业,化学原料,
603062,2025-09-24,17.654,麦加芯彩,化学原料,
002213,2025-09-30,17.976,大为股份,半导体,
003026,2025-09-23,18.373,中晶科技,半导体,
002251,2025-08-27,21.4,步步高,商业百货,
601116,2025-08-20,25.308,三江购物,商业百货,
603101,2025-08-21,23.78,汇嘉时代,商业百货,
002571,2025-08-20,18.721,德力股份,家用轻工,
002011,2025-09-22,17.9,盾安环境,家电行业,
002140,2025-09-30,15.251,东华科技,工程建设,
002775,2025-09-24,21.267,文科股份,工程建设,
002941,2025-08-22,24.94,新疆交建,工程建设,
600284,2025-08-22,25.547,浦东建设,工程建设,
600846,2025-09-18,19.229,同济科技,工程建设,
000157,2025-09-29,16.468,中联重科,工程机械,
000425,2025-09-01,22.516,徐工机械,工程机械,
600761,2025-09-10,18.738,安徽合力,工程机械,
000609,2025-08-25,23.28,ST中迪,房地产开发,
600094,2025-09-18,17.095,大名城,房地产开发,
600376,2025-09-05,29.774,首开股份,房地产开发,
600641,2025-09-22,16.883,万业企业,房地产开发,
601512,2025-09-10,20.611,中新集团,房地产开发,
002659,2025-09-04,21.045,凯文教育,教育,
600037,2025-09-24,18.343,歌华有线,文化传媒,
600637,2025-08-21,24.224,东方明珠,文化传媒,
600977,2025-08-26,27.96,中国电影,文化传媒,
603099,2025-08-22,25.011,长白山,旅游酒店,
000603,2025-08-22,27.91,盛达资源,有色金属,
000751,2025-08-20,18.099,锌业股份,有色金属,
000807,2025-08-26,19.639,云铝股份,有色金属,
002295,2025-09-08,21.175,精艺股份,有色金属,
601020,2025-08-22,21.21,华钰矿业,有色金属,
603650,2025-09-29,14.812,彤程新材,橡胶制品,
000672,2025-09-24,18.681,上峰水泥,水泥建材,
